plotid,quadrant,layer,plantid,percent_cover,date,plot_age,abandoned,notes
1caa,2,ground,ACERPSE,2,2023-05-24,0,N,
1caa,2,ground,CASTSAV,0.1,2023-05-24,0,N,
1caa,2,ground,BLECSPI,0.1,2023-05-24,0,N,
1caa,2,shrub,ACERPSE,0.1,2023-05-24,0,N,
1caa,2,shrub,CASTSAV,0.1,2023-05-24,0,N,
1caa,2,shrub,ATHYFIL,0.1,2023-05-24,0,N,
1caa,3,ground,HYACNON,80,2023-05-24,0,N,
1caa,3,ground,BETUPUB,1,2023-05-24,0,N,
1caa,3,ground,ATHYFIL,5,2023-05-24,0,N,
1caa,3,ground,ACERPSE,1,2023-05-24,0,N,
1caa,3,ground,RUBUSPP,1,2023-05-24,0,N,
1caa,3,ground,CASTSAV,0.1,2023-05-24,0,N,
1caa,3,ground,BLECSPI,0.1,2023-05-24,0,N,
1caa,3,shrub,ATHYFIL,0.1,2023-05-24,0,N,
1caa,3,shrub,BETUPUB,0.1,2023-05-24,0,N,
1caa,4,ground,HYACNON,7,2023-05-24,0,N,
1caa,4,ground,ATHYFIL,1,2023-05-24,0,N,
1caa,4,ground,TEUCSCO,1,2023-05-24,0,N,
1caa,4,ground,BETUPUB,1,2023-05-24,0,N,
1caa,4,ground,CASTSAV,0.1,2023-05-24,0,N,
1caa,4,ground,RUBUSPP,1,2023-05-24,0,N,
1caa,4,shrub,ATHYFIL,0.1,2023-05-24,0,N,
1caa,4,shrub,BETUPUB,0.1,2023-05-24,0,N,
1caa,4,shrub,CASTSAV,0.1,2023-05-24,0,N,
1cab,1,ground,HYACNON,10,2023-05-24,14,N,
1cab,1,ground,RUBUSPP,2,2023-05-24,14,N,
1cab,1,ground,GAULSHA,10,2023-05-24,14,N,
1cab,1,ground,PTERAQU,2,2023-05-24,14,N,
1cab,1,ground,CASTSAV,0.1,2023-05-24,14,N,
1cab,1,shrub,GAULSHA,10,2023-05-24,14,N,salal
1cab,1,shrub,PTERAQU,5,2023-05-24,14,N,
1cab,1,shrub,RUBUSPP,0.1,2023-05-24,14,N,
1cab,1,shrub,CASTSAV,5,2023-05-24,14,N,
1cab,2,ground,CASTSAV,5,2023-05-24,14,N,
1cab,2,ground,RUBUSPP,5,2023-05-24,14,N,
1cab,2,ground,PTERAQU,2,2023-05-24,14,N,
1cab,2,ground,RHODPON,10,2023-05-24,14,N,
1cab,2,ground,HYACNON,0.1,2023-05-24,14,N,
1cab,2,shrub,RHODPON,15,2023-05-24,14,N,
1cab,2,shrub,PTERAQU,2,2023-05-24,14,N,
1cab,2,shrub,CASTSAV,10,2023-05-24,14,N,
1cab,3,ground,RHODPON,1,2023-05-24,14,N,
1cab,3,ground,GAULSHA,2,2023-05-24,14,N,
1cab,3,ground,PTERAQU,5,2023-05-24,14,N,
1cab,3,ground,RUBUSPP,1,2023-05-24,14,N,
1cab,3,ground,CASTSAV,1,2023-05-24,14,N,
1cab,3,ground,HYACNON,1,2023-05-24,14,N,
1cab,3,shrub,CASTSAV,5,2023-05-24,14,N,
1cab,3,shrub,PTERAQU,0.1,2023-05-24,14,N,
1cab,3,shrub,GAULSHA,2,2023-05-24,14,N,
1cab,3,shrub,RHODPON,2,2023-05-24,14,N,
1cab,4,ground,GAULSHA,90,2023-05-24,14,N,
1cab,4,ground,PTERAQU,2,2023-05-24,14,N,
1cab,4,ground,RUBUSPP,1,2023-05-24,14,N,
1cab,4,ground,HYACNON,2,2023-05-24,14,N,
1cab,4,ground,CASTSAV,0.1,2023-05-24,14,N,
1cab,4,ground,DRYODIL,0.1,2023-05-24,14,N,
1cab,4,ground,TEUCSCO,0.1,2023-05-24,14,N,woodland-germander
1cab,4,shrub,GAULSHA,90,2023-05-24,14,N,
1cab,4,shrub,CASTSAV,5,2023-05-24,14,N,
1cab,4,shrub,PTERAQU,1,2023-05-24,14,N,
1cab,4,shrub,RUBUSPP,0.1,2023-05-24,14,N,
1cab,4,shrub,BETUPEN,1,2023-05-24,14,N,
1n,1,ground,HYACNON,1,2023-05-24,X,N,
1n,1,ground,CASTSAV,1,2023-05-24,X,N,
1n,1,ground,DRYODIL,0.1,2023-05-24,X,N,
1n,1,ground,RUBUSPP,0.1,2023-05-24,X,N,
1n,1,shrub,BETUPEN,0.1,2023-05-24,X,N,
1n,1,shrub,CASTSAV,10,2023-05-24,X,N,
1n,1,shrub,RUBUSPP,1,2023-05-24,X,N,
1n,2,ground,HYACNON,20,2023-05-24,X,N,
1n,2,ground,DRYODIL,0.1,2023-05-24,X,N,
1n,2,ground,RUBUSPP,0.1,2023-05-24,X,N,
1n,2,ground,CASTSAV,0.1,2023-05-24,X,N,
1n,2,shrub,CASTSAV,5,2023-05-24,X,N,
1n,2,shrub,DRYODIL,1,2023-05-24,X,N,
1n,2,shrub,QUERROB,1,2023-05-24,X,N,planted
1n,3,ground,HYACNON,10,2023-05-24,X,N,
1n,4,ground,HYACNON,5,2023-05-24,X,N,
1n,4,ground,CASTSAV,0.1,2023-05-24,X,N,
1n,4,ground,RUBUSPP,0.1,2023-05-24,X,N,
1n,4,ground,DRYODIL,0.1,2023-05-24,X,N,
1n,4,ground,CIRCLUT,0.1,2023-05-24,X,N,enchanters-nightshade
1n,4,ground,RHODPON,0.1,2023-05-24,X,N,
1n,4,shrub,CASTSAV,5,2023-05-24,X,N,
1gc,1,ground,HYACNON,20,2023-05-24,3,N,
1gc,1,ground,RUBUSPP,10,2023-05-24,3,N,
1gc,1,ground,BETUSPP,2,2023-05-24,3,N,
1gc,1,ground,CASTSAV,0.1,2023-05-24,3,N,
1gc,1,ground,SILEDIO,1,2023-05-24,3,N,
1gc,1,ground,DRYODIL,5,2023-05-24,3,N,
1gc,1,ground,JUNCSPP,40,2023-05-24,3,N,
1gc,1,ground,RUMEACE,15,2023-05-24,3,N,
1gc,1,ground,DIGIPUR,0.1,2023-05-24,3,N,
1gc,1,ground,RUMESAN,0.1,2023-05-24,3,N,
1gc,1,ground,HYPEAND,0.1,2023-05-24,3,N,Tutsan
1gc,1,ground,SALISPP,0.1,2023-05-24,3,N,
1gc,1,shrub,BETUSPP,0.1,2023-05-24,3,N,
1gc,1,shrub,CASTSAV,5,2023-05-24,3,N,
1gc,1,shrub,DRYODIL,0.1,2023-05-24,3,N,
1gc,1,shrub,RUBUSPP,1,2023-05-24,3,N,
1gc,2,ground,HYACNON,30,2023-05-24,3,N,
1gc,2,ground,RUBUSPP,10,2023-05-24,3,N,
1gc,2,ground,DRYODIL,5,2023-05-24,3,N,
1gc,2,ground,JUNCSPP,30,2023-05-24,3,N,
1gc,2,ground,DIGIPUR,0.1,2023-05-24,3,N,
1gc,2,ground,BETUSPP,0.1,2023-05-24,3,N,
1gc,2,ground,RUMESAN,0.1,2023-05-24,3,N,
1gc,2,ground,RUMEACE,40,2023-05-24,3,N,
1gc,2,ground,CASTSAV,0.1,2023-05-24,3,N,
1gc,2,ground,SALISPP,0.1,2023-05-24,3,N,
1gc,2,ground,HYPEAND,0.1,2023-05-24,3,N,
1gc,2,shrub,CASTSAV,40,2023-05-24,3,N,
1gc,2,shrub,RUBUSPP,0.1,2023-05-24,3,N,
1gc,2,shrub,BETUSPP,0.1,2023-05-24,3,N,
1gc,3,ground,HOLCSPP,0.1,2023-05-24,3,N,holcus-genus
1gc,3,ground,POACFAM,0.1,2023-05-24,3,N,
1gc,3,ground,HYACNON,20,2023-05-24,3,N,
1gc,3,ground,RUMEACE,20,2023-05-24,3,N,
1gc,3,ground,RUBUSPP,10,2023-05-24,3,N,
1gc,3,ground,SALISPP,1,2023-05-24,3,N,
1gc,3,ground,JUNCSPP,30,2023-05-24,3,N,
1gc,3,ground,DIGIPUR,0.1,2023-05-24,3,N,
1gc,3,ground,BETUSPP,1,2023-05-24,3,N,
1gc,3,ground,CASTSAV,0.1,2023-05-24,3,N,
1gc,3,ground,APIAFAM,0.1,2023-05-24,3,N,carrot-family
1gc,3,ground,DRYODIL,2,2023-05-24,3,N,
1gc,3,ground,ILEXAQU,0.1,2023-05-24,3,N,
1gc,3,ground,GALIAPA,2,2023-05-24,3,N,
1gc,3,ground,CARESPP,0.1,2023-05-24,3,N,carex-spp
1gc,3,ground,SILEDIO,0.1,2023-05-24,3,N,
1gc,3,shrub,CASTSAV,15,2023-05-24,3,N,
1gc,3,shrub,RUBUSPP,1,2023-05-24,3,N,
1gc,3,shrub,BETUSPP,0.1,2023-05-24,3,N,
1gc,4,ground,BETUSPP,1,2023-05-24,3,N,
1gc,4,ground,CASTSAV,1,2023-05-24,3,N,
1gc,4,ground,HYACNON,30,2023-05-24,3,N,
1gc,4,ground,DRYODIL,5,2023-05-24,3,N,
1gc,4,ground,JUNCSPP,40,2023-05-24,3,N,
1gc,4,ground,SALISPP,1,2023-05-24,3,N,
1gc,4,ground,DIGIPUR,0.1,2023-05-24,3,N,
1gc,4,ground,RUBUSPP,5,2023-05-24,3,N,
1gc,4,ground,RUMEACE,20,2023-05-24,3,N,
1gc,4,ground,RANUREP,0.1,2023-05-24,3,N,
1gc,4,ground,SILEDIO,0.1,2023-05-24,3,N,
1gc,4,ground,RUMESAN,0.1,2023-05-24,3,N,
1gc,4,ground,ILEXAQU,0.1,2023-05-24,3,N,
1gc,4,ground,HYPEAND,0.1,2023-05-24,3,N,
1gc,4,ground,POACFAM,0.1,2023-05-24,3,N,
1gc,4,shrub,CASTSAV,10,2023-05-24,3,N,
1gc,4,shrub,BETUSPP,0.1,2023-05-24,3,N,
1gc,4,shrub,BETUPUB,0.1,2023-05-24,3,N,
1gc,4,shrub,ACERPSE,0.1,2023-05-24,3,N,
1j,1,ground,HYACNON,40,2023-05-24,21,Y,
1j,1,ground,DRYODIL,5,2023-05-24,21,Y,
1j,1,ground,RUBUSPP,25,2023-05-24,21,Y,
1j,1,ground,CIRCLUT,1,2023-05-24,21,Y,
1j,1,ground,GALIAPA,0.1,2023-05-24,21,Y,
1j,1,ground,RUMESAN,0.1,2023-05-24,21,Y,
1j,1,shrub,CASTSAV,1,2023-05-24,21,Y,
1j,1,shrub,BETUSPP,0.1,2023-05-24,21,Y,
1j,1,shrub,DRYODIL,1,2023-05-24,21,Y,
1j,1,shrub,RUBUSPP,0.1,2023-05-24,21,Y,
1j,2,ground,RUBUSPP,10,2023-05-24,21,Y,
1j,2,ground,HYACNON,20,2023-05-24,21,Y,
1j,2,ground,GALIAPA,0.1,2023-05-24,21,Y,
1j,2,ground,RUMESAN,1,2023-05-24,21,Y,
1j,2,ground,CIRCLUT,1,2023-05-24,21,Y,
1j,2,ground,DRYODIL,5,2023-05-24,21,Y,
1j,2,ground,LONIPER,0.1,2023-05-24,21,Y,
1j,2,shrub,CASTSAV,2,2023-05-24,21,Y,
1j,2,shrub,RUBUSPP,1,2023-05-24,21,Y,
1j,2,shrub,DRYODIL,1,2023-05-24,21,Y,
1j,3,ground,HYACNON,50,2023-05-24,21,Y,
1j,3,ground,RUBUSPP,50,2023-05-24,21,Y,
1j,3,ground,DRYODIL,5,2023-05-24,21,Y,
1j,3,ground,CIRCLUT,2,2023-05-24,21,Y,
1j,3,ground,BETUPUB,0.1,2023-05-24,21,Y,
1j,3,ground,URTIDIO,1,2023-05-24,21,Y,
1j,3,ground,GALIAPA,0.1,2023-05-24,21,Y,
1j,3,ground,LONIPER,0.1,2023-05-24,21,Y,
1j,3,shrub,CASTSAV,2,2023-05-24,21,Y,
1j,3,shrub,RUBUSPP,15,2023-05-24,21,Y,
1j,3,shrub,DRYODIL,2,2023-05-24,21,Y,
1j,3,shrub,SAMBNIG,2,2023-05-24,21,Y,
1j,3,shrub,URTIDIO,1,2023-05-24,21,Y,
1j,4,ground,RUBUSPP,60,2023-05-24,21,Y,
1j,4,ground,HYACNON,15,2023-05-24,21,Y,
1j,4,ground,URTIDIO,0.1,2023-05-24,21,Y,
1j,4,ground,RUMESAN,0.1,2023-05-24,21,Y,
1j,4,ground,CASTSAV,0.1,2023-05-24,21,Y,
1j,4,ground,DRYODIL,2,2023-05-24,21,Y,
1j,4,shrub,RUBUSPP,10,2023-05-24,21,Y,
1j,4,shrub,SAMBNIG,0.1,2023-05-24,21,Y,
1j,4,shrub,CASTSAV,2,2023-05-24,21,Y,
1j,4,shrub,RUMESAN,0.1,2023-05-24,21,Y,
1j,4,shrub,URTIDIO,0.1,2023-05-24,21,Y,
1ma,1,ground,DRYODIL,35,2023-05-24,11,N,
1ma,1,ground,HYACNON,90,2023-05-24,11,N,
1ma,1,ground,RUBUSPP,15,2023-05-24,11,N,
1ma,1,shrub,RUBUSPP,5,2023-05-24,11,N,
1ma,1,shrub,DRYODIL,2,2023-05-24,11,N,
1ma,1,shrub,CASTSAV,5,2023-05-24,11,N,
1ma,1,shrub,BETUSPP,0.1,2023-05-24,11,N,
1ma,2,ground,RUBUSPP,20,2023-05-24,11,N,
1ma,2,ground,HYACNON,90,2023-05-24,11,N,
1ma,2,ground,DRYODIL,20,2023-05-24,11,N,
1ma,2,ground,RUMESAN,0.1,2023-05-24,11,N,
1ma,2,shrub,RUBUSPP,10,2023-05-24,11,N,
1ma,2,shrub,DRYODIL,2,2023-05-24,11,N,
1ma,2,shrub,CASTSAV,2,2023-05-24,11,N,
1ma,3,ground,DRYODIL,15,2023-05-24,11,N,
1ma,3,ground,HYACNON,90,2023-05-24,11,N,
1ma,3,ground,RUBUSPP,20,2023-05-24,11,N,
1ma,3,ground,RUMESAN,0.1,2023-05-24,11,N,
1ma,3,ground,ACERPSE,0.1,2023-05-24,11,N,
1ma,3,shrub,RUBUSPP,5,2023-05-24,11,N,
1ma,3,shrub,DRYODIL,1,2023-05-24,11,N,
1ma,3,shrub,ACERPSE,2,2023-05-24,11,N,
1ma,4,ground,HYACNON,99,2023-05-24,11,N,
1ma,4,ground,RUBUSPP,5,2023-05-24,11,N,
1ma,4,ground,DRYODIL,10,2023-05-24,11,N,
1ma,4,ground,CASTSAV,0.1,2023-05-24,11,N,
1ma,4,shrub,CASTSAV,1,2023-05-24,11,N,
1ma,4,shrub,ACERPSE,0.1,2023-05-24,11,N,
1ma,4,shrub,RUBUSPP,0.1,2023-05-24,11,N,
1ma,4,shrub,DRYODIL,0.1,2023-05-24,11,N,
1f,1,ground,PRUNLAU,5,2023-05-24,X,Y,
1f,1,ground,ACERPSE,1,2023-05-24,X,Y,
1f,1,ground,RUBUSPP,0.1,2023-05-24,X,Y,
1f,1,ground,POALORD,0.1,2023-05-24,X,Y,
1f,2,ground,RUBUSPP,0.1,2023-05-24,X,Y,
1f,2,ground,PRUNLAU,2,2023-05-24,X,Y,
1f,2,ground,HYACNON,0.1,2023-05-24,X,Y,
1f,2,ground,POALORD,0.1,2023-05-24,X,Y,
1f,2,ground,DRYO,2,2023-05-24,X,Y,
1f,2,ground,CASTSAV,2,2023-05-24,X,Y,
1f,2,shrub,CASTSAV,2,2023-05-24,X,Y,
1f,3,ground,PRUNLAU,2,2023-05-24,X,Y,
1f,3,ground,RUBUSPP,0.1,2023-05-24,X,Y,
1f,3,ground,DRYODIL,0.1,2023-05-24,X,Y,
1f,3,ground,CASTSAV,1,2023-05-24,X,Y,
1f,3,shrub,CASTSAV,2,2023-05-24,X,Y,
1f,4,ground,PRUNLAU,2,2023-05-24,X,Y,
1f,4,ground,POALORD,0.1,2023-05-24,X,Y,
1f,4,ground,RUBUSPP,0.1,2023-05-24,X,Y,
1f,4,ground,CASTSAV,0.1,2023-05-24,X,Y,
1f,4,ground,BETUPUB,0.1,2023-05-24,X,Y,
1f,4,shrub,CASTSAV,5,2023-05-24,X,Y,
1i,1,ground,RUBUSPP,50,2023-05-25,6,N,
1i,1,ground,RHODPON,15,2023-05-25,6,N,
1i,1,ground,JUNCSPP,10,2023-05-25,6,N,
1i,1,ground,BETUPUB,0.1,2023-05-25,6,N,
1i,1,ground,CIRSVUL,0.1,2023-05-25,6,N,bull-thistle
1i,1,ground,HYACNON,5,2023-05-25,6,N,
1i,1,ground,DIGIPUR,0.1,2023-05-25,6,N,
1i,1,ground,POALORD,1,2023-05-25,6,N,order-poales
1i,1,ground,PTERAQU,0.1,2023-05-25,6,N,
1i,1,shrub,RHODPON,5,2023-05-25,6,N,
1i,1,shrub,RUBUSPP,25,2023-05-25,6,N,
1i,1,shrub,BETUPUB,2,2023-05-25,6,N,
1i,1,shrub,ACERPSE,2,2023-05-25,6,N,
1i,1,shrub,CASTSAV,5,2023-05-25,6,N,
1i,2,ground,RUBUSPP,70,2023-05-25,6,N,
1i,2,ground,HYACNON,30,2023-05-25,6,N,
1i,2,ground,RUMEOBS,0.1,2023-05-25,6,N,
1i,2,ground,JUNCSPP,5,2023-05-25,6,N,
1i,2,ground,RHODPON,1,2023-05-25,6,N,
1i,2,ground,CIRCLUT,0.1,2023-05-25,6,N,
1i,2,shrub,RUBUSPP,30,2023-05-25,6,N,
1i,2,shrub,SALISPP,0.1,2023-05-25,6,N,
1i,2,shrub,ACERPSE,1,2023-05-25,6,N,
1i,2,shrub,CASTSAV,10,2023-05-25,6,N,
1i,2,shrub,BETUPUB,1,2023-05-25,6,N,
1i,2,shrub,BETUPUB,0.1,2023-05-25,6,N,
1i,3,ground,HYACNON,50,2023-05-25,6,N,
1i,3,ground,JUNCSPP,1,2023-05-25,6,N,
1i,3,ground,POOISUB,0.1,2023-05-25,6,N,
1i,3,ground,RUBUSPP,50,2023-05-25,6,N,
1i,3,ground,RHODPON,10,2023-05-25,6,N,
1i,3,shrub,RHODPON,5,2023-05-25,6,N,
1i,3,shrub,RUBUSPP,25,2023-05-25,6,N,
1i,3,shrub,CASTSAV,15,2023-05-25,6,N,
1i,3,shrub,BETUPEN,1,2023-05-25,6,N,
1i,3,shrub,BETUPUB,0.1,2023-05-25,6,N,
1i,3,shrub,ACERPSE,1,2023-05-25,6,N,
1i,3,shrub,BETUPUB,1,2023-05-25,6,N,
1i,4,ground,RUBUSPP,40,2023-05-25,6,N,
1i,4,ground,HYACNON,20,2023-05-25,6,N,
1i,4,ground,CASTSAV,1,2023-05-25,6,N,
1i,4,ground,JUNCSPP,2,2023-05-25,6,N,
1i,4,ground,RHODPON,2,2023-05-25,6,N,
1i,4,ground,POOISUB,0.1,2023-05-25,6,N,
1i,4,ground,QUERROB,0.1,2023-05-25,6,N,
1i,4,shrub,RUBUSPP,15,2023-05-25,6,N,
1i,4,shrub,RHODPON,1,2023-05-25,6,N,
1i,4,shrub,CASTSAV,10,2023-05-25,6,N,
1i,4,shrub,QUERROB,0.1,2023-05-25,6,N,
1i,4,shrub,RUBUSPP,0.1,2023-05-25,6,N,
1i,4,shrub,BETUPEN,1,2023-05-25,6,N,
1i,4,shrub,BETUPUB,0.1,2023-05-25,6,N,
1mb,1,ground,HYACNON,95,2023-05-25,10,N,
1mb,1,ground,ACERPSE,0.1,2023-05-25,10,N,
1mb,1,shrub,ACERPSE,2,2023-05-25,10,N,
1mb,1,shrub,CASTSAV,1,2023-05-25,10,N,
1mb,2,ground,HYACNON,95,2023-05-25,10,N,
1mb,2,ground,DRYODIL,1,2023-05-25,10,N,
1mb,2,ground,RUBUSPP,1,2023-05-25,10,N,
1mb,2,ground,CASTSAV,0.1,2023-05-25,10,N,
1mb,2,ground,ACERPSE,0.1,2023-05-25,10,N,
1mb,2,shrub,CASTSAV,5,2023-05-25,10,N,
1mb,2,shrub,DRYODIL,0.1,2023-05-25,10,N,
1mb,2,shrub,ACERPSE,5,2023-05-25,10,N,
1mb,2,shrub,RUBUSPP,0.1,2023-05-25,10,N,
1mb,3,ground,HYACNON,90,2023-05-25,10,N,
1mb,3,ground,CASTSAV,0.1,2023-05-25,10,N,
1mb,3,ground,RUBUSPP,1,2023-05-25,10,N,
1mb,3,ground,DRYODIL,2,2023-05-25,10,N,
1mb,3,ground,ACERPSE,0.1,2023-05-25,10,N,
1mb,3,shrub,CASTSAV,2,2023-05-25,10,N,
1mb,3,shrub,ACERPSE,5,2023-05-25,10,N,
1mb,3,shrub,DRYODIL,1,2023-05-25,10,N,
1mb,3,shrub,RUBUSPP,0.1,2023-05-25,10,N,
1mb,4,ground,HYACNON,95,2023-05-25,10,N,
1mb,4,ground,DRYODIL,1,2023-05-25,10,N,
1mb,4,ground,RUBUSPP,2,2023-05-25,10,N,
1mb,4,ground,CASTSAV,1,2023-05-25,10,N,
1mb,4,ground,PTERAQU,0.1,2023-05-25,10,N,
1mb,4,shrub,CASTSAV,5,2023-05-25,10,N,
1mb,4,shrub,DRYODIL,0.1,2023-05-25,10,N,
1mb,4,shrub,RUBUSPP,0.1,2023-05-25,10,N,
1mb,4,shrub,ACERPSE,2,2023-05-25,10,N,
1mc,1,ground,HYACNON,95,2023-05-25,X,Y,
1mc,1,ground,DRYODIL,5,2023-05-25,X,Y,
1mc,1,ground,ACERPSE,0.1,2023-05-25,X,Y,
1mc,1,ground,ILEXAQU,1,2023-05-25,X,Y,
1mc,1,ground,CASTSAV,0.1,2023-05-25,X,Y,
1mc,1,shrub,CASTSAV,2,2023-05-25,X,Y,
1mc,1,shrub,ACERPSE,15,2023-05-25,X,Y,
1mc,1,shrub,DRYODIL,1,2023-05-25,X,Y,
1mc,1,shrub,ILEXAQU,1,2023-05-25,X,Y,
1mc,2,ground,HYACNON,90,2023-05-25,X,Y,
1mc,2,ground,DRYODIL,2,2023-05-25,X,Y,
1mc,2,ground,ACERPSE,0.1,2023-05-25,X,Y,
1mc,2,ground,CASTSAV,0.1,2023-05-25,X,Y,
1mc,2,shrub,ACERPSE,20,2023-05-25,X,Y,
1mc,2,shrub,CASTSAV,2,2023-05-25,X,Y,
1mc,3,ground,HYACNON,95,2023-05-25,X,Y,
1mc,3,ground,DRYODIL,1,2023-05-25,X,Y,
1mc,3,ground,ACERPSE,0.1,2023-05-25,X,Y,
1mc,3,ground,CASTSAV,0.1,2023-05-25,X,Y,
1mc,3,shrub,CASTSAV,2,2023-05-25,X,Y,
1mc,3,shrub,ACERPSE,40,2023-05-25,X,Y,
1mc,4,ground,HYACNON,95,2023-05-25,X,Y,
1mc,4,ground,DRYODIL,2,2023-05-25,X,Y,
1mc,4,ground,ACERPSE,1,2023-05-25,X,Y,
1mc,4,shrub,ACERPSE,30,2023-05-25,X,Y,
1o,1,ground,HYACNON,50,2023-05-25,2,N,
1o,1,ground,BETUSPP,5,2023-05-25,2,N,
1o,1,ground,RUBUSPP,10,2023-05-25,2,N,
1o,1,ground,RUMESPP,35,2023-05-25,2,N,
1o,1,ground,CASTSAV,10,2023-05-25,2,N,
1o,1,ground,ACERPSE,1,2023-05-25,2,N,
1o,1,ground,CASTSAV,0.1,2023-05-25,2,N,
1o,1,ground,URTIDIO,0.1,2023-05-25,2,N,
1o,1,ground,DRYODIL,1,2023-05-25,2,N,
1o,1,ground,JUNCSPP,1,2023-05-25,2,N,
1o,1,ground,POOISUB,0.1,2023-05-25,2,N,subfamily-pooideae
1o,1,shrub,BETU,2,2023-05-25,2,N,
1o,1,shrub,CASTSAV,70,2023-05-25,2,N,
1o,1,shrub,CIRCSPP,0.1,2023-05-25,2,N,
1o,1,shrub,URTIDIO,0.1,2023-05-25,2,N,
1o,1,shrub,ACERPSE,0.1,2023-05-25,2,N,
1o,1,shrub,DRYODIL,1,2023-05-25,2,N,
1o,2,ground,BETUSPP,15,2023-05-25,2,N,
1o,2,ground,RUBUSPP,10,2023-05-25,2,N,
1o,2,ground,HYACNON,10,2023-05-25,2,N,
1o,2,ground,RUMESPP,20,2023-05-25,2,N,
1o,2,ground,POALORD,2,2023-05-25,2,N,
1o,2,ground,CASTSAV,20,2023-05-25,2,N,
1o,2,ground,RUMESAN,0.1,2023-05-25,2,N,
1o,2,ground,DRYODIL,1,2023-05-25,2,N,
1o,2,ground,URTIDIO,0.1,2023-05-25,2,N,
1o,2,ground,CIRCSPP,0.1,2023-05-25,2,N,
1o,2,ground,JACOVUL,0.1,2023-05-25,2,N,
1o,2,ground,ERIGSUM,0.1,2023-05-25,2,N,tropical-horseweed
1o,2,ground,POOISUB,0.1,2023-05-25,2,N,
1o,2,ground,EPILHIR,0.1,2023-05-25,2,N,
1o,2,shrub,BETUSPP,15,2023-05-25,2,N,
1o,2,shrub,CASTSAV,75,2023-05-25,2,N,
1o,2,shrub,RUBUSPP,1,2023-05-25,2,N,
1o,2,shrub,URTIDIO,0.1,2023-05-25,2,N,
1o,2,shrub,ACERPSE,0.1,2023-05-25,2,N,
1o,3,ground,RUBUSPP,10,2023-05-25,2,N,
1o,3,ground,HYACNON,55,2023-05-25,2,N,
1o,3,ground,BETUSPP,15,2023-05-25,2,N,
1o,3,ground,RUMESPP,10,2023-05-25,2,N,
1o,3,ground,CIRCSPP,0.1,2023-05-25,2,N,
1o,3,ground,CASTSAV,10,2023-05-25,2,N,
1o,3,ground,URTIDIO,1,2023-05-25,2,N,
1o,3,ground,ACERPSE,1,2023-05-25,2,N,
1o,3,ground,RUMESAN,0.1,2023-05-25,2,N,
1o,3,ground,POALORD,2,2023-05-25,2,N,
1o,3,shrub,CASTSAV,50,2023-05-25,2,N,
1o,3,shrub,ACERPSE,5,2023-05-25,2,N,
1o,3,shrub,BETUSPP,5,2023-05-25,2,N,
1o,3,shrub,RUMESAN,0.1,2023-05-25,2,N,
1o,3,shrub,RUBUSPP,1,2023-05-25,2,N,
1o,3,shrub,URTIDIO,0.1,2023-05-25,2,N,
